game,algorithm,heuristic,solved,timed_out,solution_cost,solution_length,nodes_expanded,nodes_generated,max_frontier_size,memory_mb,runtime_seconds
003\g1.txt,astar,gap,True,False,2,2,3,4,2,23.4921875,0.5000586999958614
003\g1.txt,astar,misplaced,True,False,2,2,4,5,2,25.1328125,0.5283931000012672
003\g1.txt,astar,zero,True,False,2,2,5,6,2,23.6953125,0.5630358000053093
003\g2.txt,astar,gap,True,False,1,1,2,3,2,23.890625,0.4799879000056535
003\g2.txt,astar,misplaced,True,False,1,1,2,3,2,23.35546875,0.5142362999904435
003\g2.txt,astar,zero,True,False,1,1,2,3,2,24.078125,0.5557663999934448
003\g3.txt,astar,gap,True,False,2,2,3,4,2,23.59375,0.5229014999931678
003\g3.txt,astar,misplaced,True,False,2,2,3,4,2,23.5859375,0.5320942999969702
003\g3.txt,astar,zero,True,False,2,2,4,5,2,25.01953125,0.5153121999901487
004\g1.txt,astar,gap,True,False,3,3,5,10,6,23.546875,0.5080977000034181
004\g1.txt,astar,misplaced,True,False,3,3,5,10,6,24.89453125,0.5017916999931913
004\g1.txt,astar,zero,True,False,3,3,16,24,11,24.09375,0.5050378999876557
004\g2.txt,astar,gap,True,False,4,4,6,12,7,23.484375,0.42750239999440964
004\g2.txt,astar,misplaced,True,False,4,4,8,16,9,25.1484375,0.4440184999984922
004\g2.txt,astar,zero,True,False,4,4,24,24,11,23.890625,0.465955199993914
004\g3.txt,astar,gap,True,False,2,2,3,6,4,23.33203125,0.5791276000090875
004\g3.txt,astar,misplaced,True,False,2,2,9,18,10,23.74609375,0.5800518999894848
004\g3.txt,astar,zero,True,False,2,2,6,12,7,23.16796875,0.42770659999223426
005\g1.txt,astar,gap,True,False,4,4,7,20,14,23.24609375,0.4349627000046894
005\g1.txt,astar,misplaced,True,False,6,6,34,83,50,23.8828125,0.5292436000017915
005\g1.txt,astar,zero,True,False,4,4,57,103,49,25.36328125,0.5175238000083482
005\g2.txt,astar,gap,True,False,4,4,6,17,12,25.171875,0.509880699988571
005\g2.txt,astar,misplaced,True,False,4,4,8,23,16,23.38671875,0.5018130999960704
005\g2.txt,astar,zero,True,False,4,4,75,114,49,23.66015625,0.5389216000039596
005\g3.txt,astar,gap,True,False,2,2,3,8,6,25.359375,0.5202396999957273
005\g3.txt,astar,misplaced,True,False,2,2,5,14,10,24.73828125,0.5684105999971507
005\g3.txt,astar,zero,True,False,2,2,12,35,24,24.15625,0.49949800000467803
006\g1.txt,astar,gap,True,False,5,5,9,34,26,24.10546875,0.45309049999923445
006\g1.txt,astar,misplaced,True,False,6,6,77,268,192,23.78515625,0.5935787999915192
006\g1.txt,astar,zero,True,False,5,5,560,716,288,24.859375,0.46618709999893326
006\g2.txt,astar,gap,True,False,6,6,13,50,38,23.38671875,0.4838696999941021
006\g2.txt,astar,misplaced,True,False,6,6,42,159,118,25.33984375,0.44849489998887293
006\g2.txt,astar,zero,True,False,6,6,698,720,288,23.6953125,0.4161739999981364
006\g3.txt,astar,gap,True,False,2,2,3,10,8,23.6484375,0.49352259999432135
006\g3.txt,astar,misplaced,True,False,2,2,24,93,70,23.87109375,0.49517399999604095
006\g3.txt,astar,zero,True,False,2,2,11,42,32,25.09375,0.570071399997687
008\g1.txt,astar,gap,True,False,7,7,13,74,62,23.8828125,0.6002993999863975
008\g1.txt,astar,misplaced,True,False,9,9,808,4203,3394,25.125,0.5457406000059564
008\g1.txt,astar,zero,True,False,7,7,26745,38398,15387,33.546875,1.5747984999907203
008\g2.txt,astar,gap,True,False,8,8,28,164,137,25.1171875,0.5590265000064392
008\g2.txt,astar,misplaced,True,False,8,8,87,507,421,23.84375,0.5102802999899723
008\g2.txt,astar,zero,True,False,8,8,35850,40311,15387,34.0,1.9306432999874232
008\g3.txt,astar,gap,True,False,3,3,4,20,17,23.76171875,0.49648609998985194
008\g3.txt,astar,misplaced,True,False,3,3,63,357,295,24.140625,0.4664457999897422
008\g3.txt,astar,zero,True,False,3,3,60,355,296,23.58984375,0.36292040000262205
010\g1.txt,astar,gap,True,False,9,9,17,130,114,25.265625,0.5280704000033438
010\g1.txt,astar,misplaced,True,False,12,12,3896,28261,24305,31.46484375,0.8445290999952704
010\g1.txt,astar,zero,False,True,-1,0,0,0,0,191.0625,10.068363300000783
010\g2.txt,astar,gap,True,False,10,10,60,474,415,23.80859375,0.4854953000030946
010\g2.txt,astar,misplaced,True,False,10,10,212,1682,1471,24.015625,0.4426591999945231
010\g2.txt,astar,zero,False,True,-1,0,0,0,0,182.36328125,10.044050399999833
010\g3.txt,astar,gap,True,False,3,3,4,26,23,23.671875,0.6033986999973422
010\g3.txt,astar,misplaced,True,False,3,3,237,1755,1515,23.70703125,0.5884612999943784
010\g3.txt,astar,zero,True,False,3,3,415,3054,2640,25.22265625,0.6469708000076935
012\g1.txt,astar,gap,True,False,11,11,21,202,182,25.45703125,0.4181399000081001
012\g1.txt,astar,misplaced,False,True,-1,0,0,0,0,248.51953125,10.092419800013886
012\g1.txt,astar,zero,False,True,-1,0,0,0,0,280.64453125,10.056572999994387
012\g2.txt,astar,gap,True,False,12,12,129,1282,1154,24.41796875,0.5329302000027383
012\g2.txt,astar,misplaced,True,False,12,12,524,5208,4685,24.859375,0.6020564999926137
012\g2.txt,astar,zero,False,True,-1,0,0,0,0,282.421875,10.044614599988563
012\g3.txt,astar,gap,True,False,3,3,4,32,29,23.90625,0.44683549999899697
012\g3.txt,astar,misplaced,True,False,7,7,1313,11495,10139,26.96484375,0.6296739999961574
012\g3.txt,astar,zero,True,False,3,3,846,7927,7082,26.08984375,0.6157500999979675
015\g1.txt,astar,gap,True,False,14,14,27,340,314,23.62109375,0.47396450000815094
015\g1.txt,astar,misplaced,False,True,-1,0,0,0,0,302.53125,10.114091299998108
015\g1.txt,astar,zero,False,True,-1,0,0,0,0,335.359375,10.068501499990816
015\g2.txt,astar,gap,True,False,14,14,277,3590,3314,24.59375,0.5357807999971556
